SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,55 Crabtree Ln,Levittown,NY,11756,569999,4,2.0,Levittown,1500,6000,1948,46,380,,Pending,,,https://www.redfin.com/NY/Levittown/55-Crabtree-Ln-11756/home/20369029,OneKey,3436276,N,Y,40.7311872,-73.5367514
MLS Listing,,Single Family Residential,1 Midway Ln,Levittown,NY,11756,595000,4,3.0,Levittown,,7140,1949,47,,,Active,,,https://www.redfin.com/NY/Levittown/1-Midway-Ln-11756/home/20316809,OneKey,3445212,N,Y,40.7202659,-73.5338046
MLS Listing,,Single Family Residential,12 Quaker Ln,Levittown,NY,11756,475000,4,2.0,Levittown,,6000,1948,47,,,Active,,,https://www.redfin.com/NY/Levittown/12-Quaker-Ln-11756/home/20315739,OneKey,3445164,N,Y,40.7139067,-73.5209287
PAST SALE,November-1-1977,Single Family Residential,94 Gate Ln,Levittown,NY,11756,759000,3,2.5,Levittown,,6100,1955,48,,,Pending,,,https://www.redfin.com/NY/Levittown/94-Gate-Ln-11756/home/20358884,OneKey,3439720,N,Y,40.7400026,-73.5427334
MLS Listing,,Single Family Residential,66 Woodcock Ln,Levittown,NY,11756,749999,4,2.0,Levittown,1749,6000,1952,49,429,,Active,,,https://www.redfin.com/NY/Levittown/66-Woodcock-Ln-11756/home/20363745,OneKey,3443488,N,Y,40.737576,-73.5282384
MLS Listing,,Single Family Residential,6 Regal Lane Ln,Levittown,NY,11756,689000,4,3.0,Levittown,2114,8960,1948,49,326,,Active,,,https://www.redfin.com/NY/Levittown/6-Regal-Ln-11756/home/20309520,OneKey,3445086,N,Y,40.7093362,-73.4922957
PAST SALE,January-1-1977,Single Family Residential,38 Eden Ln,Levittown,NY,11756,469000,4,2.0,Levittown,1120,7500,1948,49,419,,Pending,,,https://www.redfin.com/NY/Levittown/38-Eden-Ln-11756/home/20309755,OneKey,3423295,N,Y,40.7155209,-73.4963459
PAST SALE,January-26-2016,Single Family Residential,7 Astronomy Ln,Levittown,NY,11756,595000,5,2.0,Levittown,1735,6000,1951,50,343,,Pending,,,https://www.redfin.com/NY/Levittown/7-Astronomy-Ln-11756/home/20351796,OneKey,3442124,N,Y,40.7349756,-73.5109419
MLS Listing,,Single Family Residential,3715 Sarah Dr,Wantagh,NY,11793,549000,4,2.0,Wantagh,1410,6000,1955,50,389,,Active,January-15-2023 11:00 AM,January-15-2023 12:30 PM,https://www.redfin.com/NY/Wantagh/3715-Sarah-Dr-11793/home/20300855,OneKey,3444883,N,Y,40.7013599,-73.4989233
MLS Listing,,Single Family Residential,248 Orchid Rd,Levittown,NY,11756,639000,4,1.0,Levittown,,6000,1948,51,,,Active,January-14-2023 11:30 AM,January-14-2023 12:30 PM,https://www.redfin.com/NY/Levittown/248-Orchid-Rd-11756/home/20368930,OneKey,3437866,N,Y,40.7362018,-73.519633
PAST SALE,October-1-1978,Single Family Residential,33 Ranch Ln,Levittown,NY,11756,485000,4,2.0,Levittown,1050,6000,1948,51,462,,Pending,,,https://www.redfin.com/NY/Levittown/33-Ranch-Ln-11756/home/20315467,OneKey,3431379,N,Y,40.7237863,-73.5084536
MLS Listing,,Single Family Residential,18 Swallow Ln,Levittown,NY,11756,589000,3,2.0,Levittown,,6500,1951,52,,,Active,,,https://www.redfin.com/NY/Levittown/18-Swallow-Ln-11756/home/20368404,OneKey,3443325,N,Y,40.7401514,-73.527134
PAST SALE,September-16-2003,Single Family Residential,2 Poet Ln,Hicksville,NY,11801,549000,5,2.0,Hicksville,,8900,1952,54,,,Pending,,,https://www.redfin.com/NY/Hicksville/2-Poet-Ln-11801/home/20352058,OneKey,3439723,N,Y,40.7434038,-73.5130061
MLS Listing,,Single Family Residential,83 Azalea Rd,Levittown,NY,11756,729000,5,2.0,Levittown,2200,6000,1949,54,331,,Active,January-15-2023 12:00 PM,January-15-2023 01:30 PM,https://www.redfin.com/NY/Levittown/83-Azalea-Rd-11756/home/20372004,OneKey,3444316,N,Y,40.7341306,-73.5291672
MLS Listing,,Single Family Residential,71 Wolcott Rd,Hempstead,NY,,1399999,4,3.5,Hempstead,3200,8541,1948,55,437,,Active,,,https://www.redfin.com/NY/Levittown/71-Wolcott-Rd-11756/home/20370212,SIBORMLS,1158817,N,Y,40.7277648,-73.5341745
MLS Listing,,Single Family Residential,73 Gate Ln,Levittown,NY,11756,748000,4,3.0,Levittown,,8280,1955,58,,,Active,,,https://www.redfin.com/NY/Levittown/73-Gate-Ln-11756/home/20364891,OneKey,3442304,N,Y,40.7391178,-73.5430094
MLS Listing,,Single Family Residential,159 Elm Dr,Levittown,NY,11756,678000,4,2.0,Levittown,,13469,1952,58,,,Active,,,https://www.redfin.com/NY/Levittown/159-Elm-Dr-E-11756/home/20307386,OneKey,3441348,N,Y,40.717699,-73.4933606
PAST SALE,March-5-2001,Single Family Residential,9 Sky Ln,Levittown,NY,11756,679000,4,2.0,Levittown,1600,6000,1948,58,424,,Pending,,,https://www.redfin.com/NY/Levittown/9-Sky-Ln-11756/home/20314233,OneKey,3437663,N,Y,40.7132349,-73.5041699
PAST SALE,September-22-2008,Single Family Residential,1 Harness Ln,Levittown,NY,11756,559999,4,2.0,Levittown,,6930,1948,59,,,Pending,,,https://www.redfin.com/NY/Levittown/1-Harness-Ln-11756/home/20312997,OneKey,3437109,N,Y,40.711758,-73.524649
PAST SALE,January-15-2008,Single Family Residential,27 Grange Ln,Levittown,NY,11756,595000,4,1.0,Levittown,,6000,1948,59,,,Pending,,,https://www.redfin.com/NY/Levittown/27-Grange-Ln-11756/home/20362252,OneKey,3431470,N,Y,40.7353736,-73.5392823
PAST SALE,July-1-1978,Single Family Residential,159 Red Maple Dr E,Levittown,NY,11756,625000,4,2.0,Levittown,,8400,1950,60,,,Pending,,,https://www.redfin.com/NY/Levittown/159-Red-Maple-Dr-E-11756/home/20310617,OneKey,3426681,N,Y,40.7103658,-73.4924798
MLS Listing,,Single Family Residential,848 Helene St,Wantagh,NY,11793,615000,3,2.0,Wantagh,1352,6000,1954,62,455,,Active,,,https://www.redfin.com/NY/Wantagh/848-Helene-St-11793/home/20306592,OneKey,3442809,N,Y,40.7032459,-73.498371
MLS Listing,,Single Family Residential,8 Albatross Rd,Levittown,NY,11756,549990,4,2.0,Levittown,,6000,1948,62,,,Active,,,https://www.redfin.com/NY/Levittown/8-Albatross-Rd-11756/home/20367097,OneKey,3442665,N,Y,40.7426109,-73.5347779
